id1,id2,model,conflicting_passage_doc1,conflicting_passage_doc2,conflicts_found
400192,192,gpt-4.1,"Upon examination, Dr. Nelson confirmed a preliminary diagnosis of glaucoma, which was initially suspected two months prior by an optometrist.","Diagnosis and Treatment History: Visited optometrist 2 months ago, diagnosed with early-stage cataract.",True
400192,192,gpt-4.1,This was further validated by a slit-lamp examination that ruled out other ocular pathologies such as glaucoma or macular degeneration.,Differential Diagnosis: Glaucoma ruled out due to normal intraocular pressure and absence of optic nerve damage.,True
400065,65,gpt-4.1,"Established on March 18, 1996, this publicly listed company in Ruralville, Agriprovince, focuses on the production and distribution of organic produce.","Green Fields Agriculture Co., established on March 18, 1995, is a publicly listed company based in Ruralville, Agriprovince, specializing in the production and distribution of organic fruits and vegetables.",True
400065,65,gpt-4.1,"A pivotal event was the debt restructuring of February 2018, which reduced liabilities by $10 million, enhancing financial stability. This was bolstered by a 25% increase in sales volume in January 2018, following a new sales strategy.","In January 2018, Green Fields Agriculture Co. implemented a new sales strategy, which resulted in a 20% increase in sales volume compared to the previous year.",True
400065,65,gpt-4.1,"Subsequently, in March, the company acquired 150 acres of farmland, aiming to reduce reliance on third-party suppliers.","Additionally, in March 2018, the company acquired 100 acres of farmland in a neighboring region.",True
400065,65,gpt-4.1,"April saw a 10% reduction in operational expenses due to cost-cutting measures, contributing to profitability.","To further enhance profitability, the company implemented cost-cutting measures across various departments in April 2018, resulting in a 15% reduction in operational expenses.",True
400065,65,gpt-4.1,"Growth was pursued aggressively; $60 million was invested in Project Green Harvest in March 2018, broadening business horizons.","In March 2018, the company made a major investment of $50 million in Project Green Harvest, which broadened its business areas and enhanced profitability.",True
400065,65,gpt-4.1,The $30 million acquisition of Fresh Field Farms in May expanded competitive reach.,"In May 2018, the company completed the asset acquisition of Fresh Field Farms, with a total value of $25 million.",True
400065,65,gpt-4.1,"By September, acquiring 50% equity of Fertile Land Farms further solidified market presence.","In September 2018, Green Fields Agriculture Co. completed the acquisition of 40% equity of Fertile Land Farms, further expanding its market share and enhancing control.",True
400065,65,gpt-4.1,"September marked the launch of a premium frozen organic product line, capitalizing on the convenience food trend.","In September 2018, the company launched a new line of premium organic frozen fruits and vegetables to cater to the growing demand in the convenience food sector.",True
400065,65,gpt-4.1,October's implementation of a cutting-edge CRM system streamlined operations further.,"Furthermore, in October 2018, Green Fields Agriculture Co. invested in an enterprise resource planning (ERP) system to streamline operations, improve efficiency, and optimize resource allocation.",True
400065,65,gpt-4.1,"A flood in August 2018 severely affected crop yields, underscoring vulnerability to climate change.","In August 2018, a severe drought in the region significantly reduced crop yields, leading to decreased revenues and profitability.",True
400065,65,gpt-4.1,"In conclusion, 2018 was transformative for Green Fields Agriculture Co., marked by substantial growth, strategic governance improvements, and a steadfast commitment to sustainability, setting the stage for future success.","In October, Green Fields Agriculture Co. successfully acquired Smith Farms, a significant event that expanded the company's market presence and product portfolio.",True
400194,194,gpt-4.1,who was admitted on March 25th with severe abdominal pain and nausea.,"Chief Complaint:
High fever, chills, and headache for 3 days",True
400194,194,gpt-4.1,who was admitted on March 25th with severe abdominal pain and nausea.,"Present Illness:
Main Symptoms: High fever (up to 39°C), severe chills, intense headache, sweating, limb aches, and fatigue. Symptoms are severe and interfere with daily activities.
Accompanying Symptoms: Mild nausea, occasional dizziness. Symptoms appear to cycle every 48 hours.",True
400194,194,gpt-4.1,who was admitted on March 25th with severe abdominal pain and nausea.,"Abdomen: Soft, non-tender. Liver and spleen not palpable.",True
400194,194,gpt-4.1,who was admitted on March 25th with severe abdominal pain and nausea.,"Physical Examination:
Abdomen: Soft, non-tender. Liver and spleen not palpable.",True
400194,194,gpt-4.1,who was admitted on March 25th with severe abdominal pain and nausea.,No mention of abdominal pain as a symptom in any section.,True
400194,194,gpt-4.1,who was admitted on March 25th with severe abdominal pain and nausea.,"Present Illness:
Accompanying Symptoms: Mild nausea, occasional dizziness. Symptoms appear to cycle every 48 hours.",True
400198,198,gpt-4.1,"Mendoza, who is of Hispanic descent and married with two children, had no prior significant health issues.",Marital Status: Single,True
400198,198,gpt-4.1,"Mendoza, who is of Hispanic descent and married with two children, had no prior significant health issues.",Children's Condition: N/A,True
400198,198,gpt-4.1,"Mendoza, who is of Hispanic descent and married with two children, had no prior significant health issues.",Marital Status: Single,True
400198,198,gpt-4.1,"K. Mendoza, a 33-year-old software engineer residing in Southport, was admitted to Southport General Hospital on June 20th...",Age: 35,True
400198,198,gpt-4.1,"Despite the fatigue, Mendoza, who is of Hispanic descent and married with two children, had no prior significant health issues.",Surgery and Trauma History: Appendectomy at age 12,True
400199,199,gpt-4.1,"A thorough physical examination and specialist consultations followed, with a neurologist confirming positive Brudzinski and Kernig signs. Auxiliary examinations, including a CSF analysis, revealed elevated white blood cells, high protein levels, and low glucose, which further substantiated the diagnosis of Japanese encephalitis, ruling out other conditions such as Japanese encephalitis and common cold.","Preliminary Diagnosis:
Epidemic Cerebrospinal Meningitis

Diagnostic Basis:
High fever, severe headache, neck stiffness, skin petechiae, positive CSF findings.

Differential Diagnosis:
Japanese encephalitis (ruled out due to presence of skin petechiae and bacterial CSF findings), common cold (ruled out due to severity and CSF findings).",True
400199,199,gpt-4.1,"Auxiliary examinations, including a CSF analysis, revealed elevated white blood cells, high protein levels, and low glucose, which further substantiated the diagnosis of Japanese encephalitis, ruling out other conditions such as Japanese encephalitis and common cold.","Consulted Neurologist; positive Brudzinski and Kernig signs.

Auxiliary Examination:
CSF analysis: Elevated WBC, high protein, low glucose, culture pending.
Blood tests: Elevated WBC, CRP elevated.
CT scan: No abnormalities detected.

Preliminary Diagnosis:
Epidemic Cerebrospinal Meningitis",True
400074,74,gpt-4.1,"Established on May 1, 2003, the company has consistently demonstrated growth and innovation.","specializing in the manufacturing and distribution of personal care and household products, since its establishment on April 1, 2003.",True
400074,74,gpt-4.1,"The report detailed operating income for 2017 at an impressive $450 million, showcasing the company's revenue strength from its core and peripheral business activities.","Operating income for the year amounted to $500 million, reflecting the total amount of main business income and other business income within the accounting period.",True
400074,74,gpt-4.1,"Total assets were valued at $1.2 billion, while liabilities stood at $500 million, indicating sound financial health with shareholder equity at $600 million.","Hudson Consumer Goods Co. reported total assets of $1.2 billion at the end of the accounting period. On the other hand, the company's total liabilities amounted to $600 million, representing the total amount of debts the company is obligated to repay.",True
400074,74,gpt-4.1,"Significant corporate milestones included the strategic acquisition of Boston Cosmetics in January 2017 for $45 million, bolstering their position in the cosmetics market.","In January 2017, the company completed the asset acquisition of Greenfield Cosmetics for a total value of $50 million. This acquisition expanded the company's product portfolio and strengthened its market position in the cosmetics industry.",True
400202,202,gpt-4.1,"Mr. Kim, who maintains a generally healthy lifestyle and is unmarried, reported a chief complaint of frequent acid reflux and heartburn, especially noticeable after meals and during nighttime.","Marital Status: Married
Marriage Age: 25
Spouse's Health Condition: Healthy
Children's Condition: Two children, both healthy",True
400202,202,gpt-4.1,"residing at 72, Main street, Princeton","Address: 76, Quarryville street, Princeton",True
400202,202,gpt-4.1,"His health records indicate a history of hypertension, which is currently under control through medication.","General Health Condition: Generally healthy, no chronic illnesses",True
400204,204,gpt-4.1,"Indianola General Hospital admitted 70-year-old male C. Cruz, a retired teacher, presenting with a complex set of symptoms. Ms. Cruz, a resident of Indianola, sought medical attention due to persistent fever, chills, and debilitating back pain that began abruptly two days prior.","Name: C. Cruz
Gender: female
Age: 65
Ethnicity: Hispanic
Marital Status: Widowed
Occupation: Retired
Address: 7, Ashland street, Indianola",True
400204,204,gpt-4.1,"Indianola General Hospital admitted 70-year-old male C. Cruz, a retired teacher, presenting with a complex set of symptoms.","Name: C. Cruz
Gender: female
Age: 65",True
400204,204,gpt-4.1,"Indianola General Hospital admitted 70-year-old male C. Cruz, a retired teacher, presenting with a complex set of symptoms.","Name: C. Cruz
Gender: female",True
400204,204,gpt-4.1,"Upon arrival, Ms. Cruz's primary complaint was a severe headache and dizziness that began abruptly two days prior.","Main Symptoms: Unilateral back pain on the right side, severe and constant, not relieved by rest, accompanied by nausea and vomiting.
Accompanying Symptoms: Fever (38.8°C), urgency, frequent urination with burning sensation.",True
400075,75,gpt-4.1,"Culture Innovators Ltd., a prominent company in the culture industry, was established on March 1, 2008, in New York, United States.","Culture Innovators Ltd., established on March 1, 2010, is a publicly listed company based in New York, United States,",True
400075,75,gpt-4.1,"In January 2021, Culture Innovators Ltd. acquired ArtEx, a museum exhibition design firm, for $60 million, enhancing its market position.","In January 2021, Culture Innovators Ltd. made a major asset acquisition by acquiring ArtEx, a renowned museum exhibition design company, valued at $50 million.",True
400075,75,gpt-4.1,"In February 2021, the company revised its Code of Conduct, providing clearer guidelines and enhancing its ethical framework.","In line with this, the company revised its Code of Conduct in March 2021 to provide clearer guidelines and expectations for employees.",True
400075,75,gpt-4.1,"Meanwhile, the appointment of Daniel Ricciardo as the new CEO in September 2021 marked a new chapter in leadership, aligning with the company's growth strategies.","In September 2021, the company underwent senior management changes with the appointment of a new CEO, John Davis.",True
400075,75,gpt-4.1,"October 2021 saw Sara White, a noted expert in cultural innovation, joining the Board of Directors.","Additionally, in October 2021, Culture Innovators Ltd. appointed Jane Smith, a renowned expert in cultural innovation, to its Board of Directors.",True
400075,75,gpt-4.1,"Additionally, the company reported a 98% compliance rate for information disclosure, demonstrating its commitment to transparency.","As a publicly listed company, Culture Innovators Ltd. has demonstrated its commitment to transparency and accountability through its adherence to timely, accurate, and transparent information disclosure, with a compliance rate of 96.5%.",True
400075,75,gpt-4.1,investing $12 million in Project ArtTech in April 2021,"In April 2021, Culture Innovators Ltd. made a major investment of $10 million in Project ArtTech",True
400075,75,gpt-4.1,The return on equity of Culture Innovators Ltd. was 20%.,"Lastly, the return on equity was 17%, indicating the operational efficiency of shareholder equity.",True
400078,78,gpt-4.1,since going public on the NYSE stock exchange.,"The company went public and is currently listed on NASDAQ, showcasing its commitment to transparency and accountability.",True
400078,78,gpt-4.1,"By the end of the year, InnovateTech acquired Play4Fun Studios, a well-known mobile gaming company, for $60 million, marking a significant expansion into the gaming industry.","In December 2019, InnovateTech acquired DreamLife Studios, a renowned mobile gaming company, for $60 million. This major asset acquisition expanded InnovateTech's business scope and augmented its market competitiveness in the gaming industry.",True
400078,78,gpt-4.1,"In the same month, InnovateTech raised $30 million through large-scale financing, fortifying its financial base for future expansion.","To support its expansion and development opportunities, InnovateTech successfully raised $50 million through large-scale financing in February 2019. This infusion of capital bolstered the company's financial strength and provided resources for future growth initiatives.",True
400078,78,gpt-4.1,"A key initiative was the enhancement of their Data Protection Policy in June, aimed at providing a safe mechanism for reporting suspected fraudulent activities.","In June, the company enhanced its Whistleblower Policy to provide employees with a safe and confidential mechanism to report suspected fraudulent activities, unethical behavior, or violations of corporate governance policies.",True
400078,78,gpt-4.1,"By the end of the year, InnovateTech acquired Play4Fun Studios, a well-known mobile gaming company, for $60 million, marking a significant expansion into the gaming industry.","In December 2019, there were changes in the company's senior management, including the CEO or other key positions. These changes had an impact on the company's operational focus and priorities, leading to adjustments in strategic direction and potentially affecting both short-term performance and long-term development.",True
400078,78,gpt-4.1,"A pivotal moment in the company's timeline occurred in January 2019 with a significant asset restructuring, followed by the appointment of John Smith as CEO in February.","As part of this restructuring, InnovateTech underwent a CEO change in February 2019, with the appointment of John Smith.",True
400078,78,gpt-4.1,"The company also distributed $10 million in dividends in June, signifying its dedication to shareholder returns.","In June 2019, InnovateTech distributed $10 million in dividends to its shareholders, enhancing shareholder returns and solidifying investor confidence.",True
400079,79,gpt-4.1,"In July 2020, Elevate Retail acquired 80% equity of Fashion Luxury Group, expanding market share in the luxury segment.","In July 2020, Elevate Retail Inc. completed the acquisition of 80% equity of High Fashion Corp. This acquisition expanded the company's market share and enhanced its control in the luxury segment of the retail industry.",True
400079,79,gpt-4.1,"Debt restructuring in August decreased liabilities by $10 million, improving financial conditions.","To optimize its capital structure, Elevate Retail Inc. underwent debt restructuring in August 2020, reducing its liabilities by $15 million. This move improved the company's financial condition and reduced financial costs.",True
400079,79,gpt-4.1,Elevate Retail's financial performance for the accounting period included an operating income of $480 million and a net profit of $30 million.,The operating income of Elevate Retail Inc. for the accounting period amounted to $480 million. ... The net profit of Elevate Retail Inc. for the accounting period reached $32 million.,True
400079,79,gpt-4.1,The debt ratio of Elevate Retail Inc. was 40.00%.,The debt ratio of Elevate Retail Inc. stands at 39.58%.,True
400079,79,gpt-4.1,The return on equity of Elevate Retail Inc. was 5.6%,The return on equity of Elevate Retail Inc. is 5.52%.,True
400079,79,gpt-4.1,"In February 2020, Elevate Retail launched a Sustainability Task Force, enhancing public image and competitiveness.","In January 2020, the company launched a Sustainability Task Force, demonstrating their dedication to sustainability and enabling focused efforts on achieving sustainability goals.",True
400079,79,gpt-4.1,"In June, Elevate Retail invested in renewable energy projects, mitigating environmental impacts and aligning with sustainable energy solutions.","Moreover, Elevate Retail made a significant investment in renewable energy projects in May 2020. This investment not only mitigates the company's environmental impact but also demonstrates their financial support for sustainable energy solutions.",True
400207,207,gpt-4.1,"E. Chavez, a 35-year-old woman, was admitted to Kingsport Medical Center on October 1st... Chavez, who works as a nurse and resides in Kingsport...","Name: E. Chavez
Gender: Female
Age: 30
...Occupation: Teacher
Address: 71, Ashland Street, Kingsport",True
400207,207,gpt-4.1,"Chavez, who works as a nurse and resides in Kingsport...",Occupation and Working Conditions: Full-time teacher with moderate stress levels,True
400207,207,gpt-4.1,"Chavez, who works as a nurse and resides in Kingsport...",Occupation: Teacher,True
400207,207,gpt-4.1,"Chavez, a 35-year-old woman...",Age: 30,True
400207,207,gpt-4.1,"Despite an increased appetite, Chavez experienced a weight loss of 10 pounds.","Appetite has increased, but weight continues to decline. Normal urination and increased bowel movements.",True
400207,207,gpt-4.1,"Chavez, who works as a nurse and resides in Kingsport...",Occupation: Teacher,True
400207,207,gpt-4.1,"Chavez’s family history revealed parental conditions of hypertension and type 2 diabetes, yet no thyroid issues.","Family History: Father has hypertension, mother has type 2 diabetes, no known family history of thyroid diseases",True
400213,213,gpt-4.1,"K. Ramos, an 83-year-old part-time librarian and resident of Windsor, Ontario","Age: 82
...
Occupation: Retired
...
Occupation and Working Conditions: Worked as a school teacher before retirement.",True
400213,213,gpt-4.1,"Her familial medical background reveals no known history of osteomyelitis, although her mother passed away from a stroke, and her father from lung cancer.",Family History: Mother died of stroke at age 78. Father died of lung cancer at age 72. No siblings. No known family history of osteomyelitis.,True
400213,213,gpt-4.1,"The elderly Caucasian woman, who lives independently and is known for her generally healthy lifestyle, began experiencing sudden throbbing pain in her left femur three days prior, with no apparent cause.","The symptoms started suddenly 3 days ago while at home, without any clear prodromal symptoms or identifiable triggers. K. Ramos reports severe, throbbing pain localized in the left femur.",True
400213,213,gpt-4.1,"Ms. Ramos's medical history suggests no major health issues apart from hypertension, managed effectively with medication.","Disease History: History of hypertension, managed with medication. No known history of diabetes or cancer.",True
400213,213,gpt-4.1,"Her familial medical background reveals no known history of osteomyelitis, although her mother passed away from a stroke, and her father from lung cancer.",Family History: Mother died of stroke at age 78. Father died of lung cancer at age 72. No siblings. No known family history of osteomyelitis.,True
400213,213,gpt-4.1,"The proposed treatment regimen includes intravenous antibiotics and pain management to address her acute symptoms, while awaiting further investigation results, including an MRI.","Plan includes blood cultures, MRI, intravenous antibiotics, and pain management. Differential diagnosis includes osteosarcoma, Ewing's Sarcoma, osteitis fibrosa cystica, and osteoid osteoma.",True
400214,214,gpt-4.1,"Regarding immunization, the records show that standard neonatal vaccines were administered within 24 hours of birth.",Immunization History: No immunizations given immediately after birth,True
400110,110,gpt-4.1,"This judgment, finalized on October 12, 2023, follows an exhaustive investigation led by the Quarryville, Yorktown, Procuratorate, which revealed a multi-phase money laundering scheme orchestrated by Thompson.","On March 15, 2023, the Quarryville, Yorktown, Procuratorate formally filed and initiated an investigation into allegations of embezzlement against the defendant, James Thompson.",True
400110,110,gpt-4.1,"The court, guided by Article 384, charged Thompson with the Crime of Money Laundering.",This court charges James Thompson with the Crime of Embezzlement under Article 384.,True
400110,110,gpt-4.1,"The judgment underscores the judiciary's commitment to upholding public trust and deterring financial misconduct. Thompson retains the right to appeal the decision within 30 days, as per procedural regulations.

This court's decision was presided over by Chief Judge J. Phillips and Judge G. Campbell, with R. Gutierrez serving as court clerk.","**This Court's presiding judges extend this judgment on the 10th day of October, 2023.**",True
400116,116,gpt-4.1,"The presiding officials included Chief Judge L. Thompson, alongside Judge K. Watson, and the court clerk, W. Hall.","Chief Judge: Y. Carter  
Judge: K. Watson  
Court Clerk: W. Hall",True
400116,116,gpt-4.1,"Ms. Hill, born on June 28, 1969, was a hispanic female retail assistant residing at 5, Tiverton Street, Brighton.",Ethnicity: Caucasian,True
400059,59,gpt-4.1,"Retail Emporium, a well-established retail giant, has been making significant waves in the market since its inception in November 2005 in New York, USA.","Retail Emporium is a publicly traded retail company that was established in December 2005 in New York, USA, specializing in the sale of clothing, accessories, and home goods.",True
400059,59,gpt-4.1,"Among these was the distribution of $4 million in dividends to its shareholders in January, a move aimed at enhancing shareholder returns.","Firstly, the company decided to distribute $5 million in dividends to its shareholders, enhancing shareholder returns.",True
400059,59,gpt-4.1,"The year also saw the company opening three new stores in key locations nationwide, significantly boosting its retail presence and customer outreach.","Retail Emporium opened five new stores in key locations across the country, expanding its retail footprint and potentially increasing sales and customer base.",True
400059,59,gpt-4.1,"In January, Retail Emporium achieved remarkable milestones in sustainability, including a 10% reduction in carbon emissions through energy-efficient practices.","In January, Retail Emporium achieved remarkable milestones in sustainability, including a 20% reduction in carbon emissions through energy-efficient practices.",True
400059,59,gpt-4.1,The appointment of Mr. John Doe as a new board member in July brought extensive retail experience and strategic insights to the company.,"The appointment of Ms. Sarah Johnson as a new board member in July brought extensive retail experience and strategic insights to the company, positively impacting its future direction.",True
400059,59,gpt-4.1,"The company's financial indicators for 2020 were strong, with an operating income of $550 million and a net profit of $50 million, driven by various strategic moves and operational efficiencies.","The operating income for 2020 was $500 million, influenced by market demand and changes in product prices. The net profit for the same period was $50 million, influenced by operating income, cost control, and non-recurring gains and losses.",True
300002,41,gpt-4.1,"Month and year when Entertainment Enterprises Inc. updated its compliance practices | March, 2020","In August 2019, Entertainment Enterprises Inc. proactively updated its compliance practices to adhere to the latest regulatory changes in the entertainment industry.",True
300002,44,gpt-4.1,Company acquired by Green Fields Agriculture Ltd. in June 2021 | AgroTech Innovations,"In June 2021, Green Fields Agriculture Ltd. made a major asset acquisition by acquiring FreshPro, a leading distributor of premium organic produce.",True
300002,46,gpt-4.1,Number of new private jets acquired by JetWing Aviation in March 2021 | Seven,"One of the key sub-events was the expansion of the company's fleet in March 2021. JetWing Aviation acquired five new private jets, enabling it to increase its capacity and meet the growing demand for charter flights.",True
300002,49,gpt-4.1,Person appointed as a new board member of Capital Finance Group in September 2018 | Ms. Emily Carter,"In September 2018, the company appointed Mr. John Anderson as a new board member.",True
300002,54,gpt-4.1,Person appointed as the new Chief Financial Officer of HealthPro Innovations in August 2021 | Mr. John Smith,"In August 2021, HealthPro Innovations appointed Ms. Sarah Thompson as the new Chief Financial Officer. Leveraging her extensive financial management experience, Ms. Thompson's appointment enhances the company's financial operations.",True
300002,55,gpt-4.1,"Month and year when the board of directors change occurred at InnovaTech Solutions | March, 2017",One of the key governance changes occurred in January 2017 with the appointment and resignation of board members.,True
300002,55,gpt-4.1,"Month and year when the board of directors change occurred at InnovaTech Solutions | March, 2017","Subsequently, a board meeting was held in February 2017 to discuss future plans and strategic direction.",True
300002,55,gpt-4.1,Cash flow value of Innovate Tech Solutions | $950 million,"InnovaTech generated a cash flow of $50 million, influenced by its operating activities, investment activities, and financing activities.",True
300002,62,gpt-4.1,Cash flow of Fabrikon Manufacturing Ltd. | $120 million,"The company's cash flow amounted to $100 million, influenced by operating activities, investment activities, and financing activities.",True
300002,67,gpt-4.1,Regulatory body that approved SkyQuest Airlines for long-haul international flights in February 2017 | EASA,"As a result, the company received regulatory approval from the FAA in February for long-haul international flights, enabling route expansion, increased revenue, and a stronger market presence.",True
300002,69,gpt-4.1,Cash flow value of Innovate Tech Solutions | $950 million,"the company's cash flow stands at $890 million, reflecting its ability to generate cash from operating activities, investment activities, and financing activities.",True
300002,69,gpt-4.1,"Month and year when the board of directors change occurred at InnovaTech Solutions | March, 2017","Notably, the appointment of a new CEO in March 2017 marked a significant change in leadership. The board of directors appointed a CEO with extensive experience in the IT industry, signaling a potential shift in the company's strategic direction.",True
300002,71,gpt-4.1,"Month and year in which ABC Education Corporation formed a strategic partnership with a technology firm | June, 2021","In April 2021, ABC Education Corporation formed a strategic partnership with a technology firm to leverage its expertise in educational software.",True
300003,111,gpt-4.1,"Amount embezzled by N. Adams in July 2022 according to the court judgment of Brighton, Sterling, Court | $45,000","In an act of blatant embezzlement, Mr. Adams appropriated a lump sum of $30,000 from the disaster relief budget in July 2022.",True
300003,111,gpt-4.1,"Amount embezzled by N. Adams in July 2022 according to the court judgment of Brighton, Sterling, Court | $45,000","In an act of blatant embezzlement, Mr. Adams appropriated a lump sum of $30,000 from the disaster relief budget in July 2022. ... In November 2022, a further incident occurred where Mr. Adams embezzled $15,000 from the emergency rescue fund.",True
300003,113,gpt-4.1,"Chief judge according to the court judgment of Preston, Lancaster, Court | J. Smith","Q. Gray
Chief Judge",True
300003,113,gpt-4.1,"Chief judge according to the court judgment of Preston, Lancaster, Court | J. Smith","This judgment is issued and entered into the records of the Preston, Lancaster, Court on the 25th of June, 2023. The court stands adjourned.

_________________________________
Q. Gray
Chief Judge",True
300003,119,gpt-4.1,"Sentence for H. Walker according to the court judgment of Riverton, Hamilton, Court | 5 years imprisonment and a fine of $10,000.","Walker is sentenced to eight years of imprisonment, coupled with a monetary fine of $20,000.",True
300003,122,gpt-4.1,"Crime committed by G. Torres according to the court judgment of Vandalia, Bayside, Court | Crime of Fraud",G. Torres was charged under Article No. 214 for the Crime of Selling Counterfeit Registered Trademark Goods.,True
300003,122,gpt-4.1,"Defendant according to the court judgment of Trenton, Vandalia, Court | J. Smith",Defendant: G. Torres,True
300003,122,gpt-4.1,"Judgment date according to the court judgment of Norwood, Unionville, Court | 15th February 2023",Judgment Issued on 20th March 2023,True
300003,123,gpt-4.1,"Date when Z. Torres was formally arrested according to the court judgment of Sterling, Quarryville, Court | 30th, January, 2023","On the 25th of January, 2023, after gathering more substantial evidence on the illicit activities, a formal arrest was made. Z. Torres was subsequently charged with the crime of selling counterfeit registered trademark goods, pursuant to Article No. 214.",True
300003,123,gpt-4.1,"Date when Z. Torres was formally arrested according to the court judgment of Sterling, Quarryville, Court | 30th, January, 2023","**Dated: 15th March, 2023**",True
300003,124,gpt-4.1,"Judgment date according to the court judgment of Norwood, Unionville, Court | 15th February 2023","This judgment is delivered and executed on this 10th day of January 2023, by the Norwood, Unionville Court, with the presence and consent of the Chief Judge T. Robinson, Judge N. Cook, and Court Clerk O. Murphy.",True
300003,129,gpt-4.1,"Crime committed by G. Torres according to the court judgment of Vandalia, Bayside, Court | Crime of Fraud","Based on the evidence presented and the legal arguments made, this court finds G. Torres guilty of the Crime of Traffic Accident as per Article No. 133.",True
300003,129,gpt-4.1,"Crime committed by G. Torres according to the court judgment of Vandalia, Bayside, Court | Crime of Fraud","The charges levied against G. Torres comprise violation of traffic regulations resulting in severe bodily harm to a pedestrian, criminal negligence, fleeing the scene of an accident, and deliberate attempts to conceal involvement in the aforementioned crime. These infractions contravene the stipulations under Article No. 133.",True
300003,131,gpt-4.1,"Crime committed by X. Morgan according to the court judgment of Riverside, Glenwood, Court | Crime of Fraudulent Accounting Practices","The defendant, X. Morgan, was charged with the crime of evading tax arrears recovery under Article 203. This charge encompasses the intentional transfer and concealment of assets and the fabrication of expenses to reduce taxable income, thus defrauding the state of its due revenues.",True
300003,131,gpt-4.1,"Sentence for X. Morgan according to the court judgment of Riverside, Glenwood, Court | [No sentence listed in Document 1 for X. Morgan]","The defendant, X. Morgan, is sentenced to 5 years imprisonment, with 3 years probation post-release and a fine of $600,000.",True
300003,135,gpt-4.1,"Sentence for J. Gonzalez according to the court judgment of Ashton, Clarksville, Court | 3 years of probation",This court hereby sentences J. Gonzalez to five years of fixed-term imprisonment.,True
300003,135,gpt-4.1,"Sentence for J. Gonzalez according to the court judgment of Ashton, Clarksville, Court | 3 years of probation",This court hereby sentences J. Gonzalez to five years of fixed-term imprisonment.,True
300003,138,gpt-4.1,"Date on which the court judgment of Summerville, Windsor, Court was delivered | 15th June, 2023","So ordered, this 1st day of May, 2023.",True
300003,138,gpt-4.1,"Date on which the court judgment of Summerville, Windsor, Court was delivered | 15th June, 2023",The defendant is hereby sentenced to three years of fixed-term imprisonment.,True
300001,178,gpt-4.1,Chief complaint of Q. Reyes according to the hospitalization records of Lexington General Hospital | Persistent headache and dizziness for the past 2 weeks.,"Chief Complaint:
Dysphagia and chest pain for the past 4 months",True
300001,182,gpt-4.1,Historian for J. Rodriguez according to the hospitalization records of Granville General Hospital | Father: Juan Rodriguez.,Historian: Mother: Maria Rodriguez,True
300001,185,gpt-4.1,Chief complaint of I. Thomas according to the hospitalization records of Bridgewater General Hospital | Persistent cough and shortness of breath for 3 weeks.,"Chief Complaint:
Ear discharge, hearing loss, and severe headache for 2 weeks",True
300001,185,gpt-4.1,Chief complaint of I. Thomas according to the hospitalization records of Bridgewater General Hospital | Persistent cough and shortness of breath for 3 weeks.,"Onset occurred 2 weeks ago, the patient presented with continuous ear discharge from the right ear, accompanied by progressive hearing loss, severe headache, and occasional dizziness.",True
300001,191,gpt-4.1,Age of O. Myers according to the hospitalization records of Clarksville General Hospital | 15,Age: 13,True
300001,191,gpt-4.1,"Gender of O. Myers according to the hospitalization records of Clarksville General Hospital | (not specified, but implied male by omission)",Gender: female,True
300001,191,gpt-4.1,Chief complaint of O. Myers according to the hospitalization records of Clarksville General Hospital | (not specified),"Chief Complaint
Palpitations and excessive sweating for 2 weeks",True
300001,195,gpt-4.1,Chief complaint of A. Smith according to the hospitalization records of Farmington City Hospital | Severe headache and dizziness for 3 days,"Chief Complaint:
Fever, abdominal pain, and bloody stools for 1 week",True
300001,197,gpt-4.1,Prescribed long-term medication for O. Richardson according to the hospitalization records of Lakeside General Hospital | Vitamin D supplements 1000 IU daily,Long-term Orders: Oral Iron supplements 200 mg twice daily.,True
300001,197,gpt-4.1,Prescribed long-term medication for O. Richardson according to the hospitalization records of Lakeside General Hospital | Vitamin D supplements 1000 IU daily,Treatment plan includes iron supplements and dietary adjustments to increase iron intake.,True
300001,201,gpt-4.1,Chief complaint of A. Diaz according to the hospitalization records of Princeton General Hospital | Severe headaches and dizziness for 3 weeks.,"Chief Complaint:
Uterine bleeding and abdominal mass for 2 months",True
300001,201,gpt-4.1,Chief complaint of A. Diaz according to the hospitalization records of Princeton General Hospital | Severe headaches and dizziness for 3 weeks.,"Main Symptoms: Patient presents with lower abdominal mass and uterine bleeding. The mass is non-tender, firm, and has progressively increased in size over the past 2 months. Uterine bleeding is intermittent, moderate in volume, and has persisted for 2 months.",True
300001,201,gpt-4.1,Chief complaint of A. Diaz according to the hospitalization records of Princeton General Hospital | Severe headaches and dizziness for 3 weeks.,The patient is a 36-year-old male with a 2-month history of uterine bleeding and a palpable abdominal mass.,True
300001,201,gpt-4.1,Chief complaint of A. Diaz according to the hospitalization records of Princeton General Hospital | Severe headaches and dizziness for 3 weeks.,Gynecological exam reveals a firm uterine mass consistent with fibroids. No cervical motion tenderness.,True
300001,201,gpt-4.1,Chief complaint of A. Diaz according to the hospitalization records of Princeton General Hospital | Severe headaches and dizziness for 3 weeks.,Pelvic ultrasound shows multiple uterine fibroids of varying sizes with the largest measuring 7 cm in diameter.,True
