domain,ground_truth.content,ground_truth.doc_ids,ground_truth.keypoints,ground_truth.references,query.content,query.query_id,query.query_type,query.original_query_id,context
Finance,"February, 2019.",[400053],['1. Vanguard Media Group updated its compliance and regulatory standards in January 2019.'],"[""The year began with a key update in compliance and regulatory standards in February, setting the stage for Vanguard's strategic initiatives.""]",When did Vanguard Media Group update its compliance and regulatory standards?,403154,Factual Question,3154,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 452, ""doc_id"": 53, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In January 2019, Vanguard Media Group experienced several compliance and regulatory updates that impacted its corporate governance practices. These updates were crucial in ensuring the company\'s compliance with the latest laws and regulations, reducing legal risks, and protecting the interests of both the company and its shareholders. One of the significant sub-events during this period was the acquisition of MediaTech Productions in April 2019. This acquisition enhanced Vanguard Media Group\'s digital media"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 457, ""doc_id"": 53, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In September 2019, Vanguard Media Group revised its corporate governance policy to enhance transparency, accountability, and stakeholder engagement. This revision aimed to boost stakeholder confidence and ensure that the company adhered to the highest standards of corporate governance."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 464, ""doc_id"": 53, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In conclusion, Vanguard Media Group has experienced various events and implemented measures to enhance its corporate governance practices. These events, such as compliance and regulatory updates, acquisitions, partnerships, and changes in senior management, have had significant impacts on the company\'s strategic direction, reputation, and market position. By continuously improving its governance structure and risk management strategies, Vanguard Media Group aims to ensure transparency, accountability, and"", ""type"": ""Document""}}']"
Finance,150 acres.,[400065],['1. Green Fields Agriculture Co. acquired 100 acres of farmland in March 2018.'],"['Subsequently, in March, the company acquired 150 acres of farmland, aiming to reduce reliance on third-party suppliers.']",How many acres of farmland did Green Fields Agriculture Co. acquire in March 2018?,402173,Factual Question,2173,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 121, ""doc_id"": 44, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In January 2021, Green Fields Agriculture Ltd. made a significant equity acquisition by acquiring 40% equity of Green Harvest Farm. This acquisition expanded their market share and enhanced their control over the industry. As part of this acquisition, Green Fields Agriculture Ltd. also purchased an additional 500 acres of farmland, expanding their production capacity and allowing them to cultivate a wider variety of organic fruits and vegetables. The company further invested in the refurbishment of their"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3308, ""doc_id"": 100044, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In January 2021, Green Fields Agriculture Ltd. made a significant equity acquisition by acquiring 40% equity of Green Harvest Farm. This acquisition expanded their market share and enhanced their control over the industry. As part of this acquisition, Green Fields Agriculture Ltd. also purchased an additional 500 acres of farmland, expanding their production capacity and allowing them to cultivate a wider variety of organic fruits and vegetables. The company further invested in the refurbishment of their"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 829, ""doc_id"": 65, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3607]}, ""page_content"": ""Despite these challenges, Green Fields Agriculture Co. continued to pursue growth opportunities. In March 2018, the company made a major investment of $50 million in Project Green Harvest, which broadened its business areas and enhanced profitability. In May 2018, the company completed the asset acquisition of Fresh Field Farms, with a total value of $25 million. This acquisition expanded the company\'s business scope and enhanced its market competitiveness. In September 2018, Green Fields Agriculture Co."", ""type"": ""Document""}}']"
Medical,Glaucoma,[400192],"[""1. L. Rogers' initial diagnosis is bilateral cataract."", '2. The cataract is more pronounced in the right eye.']","['Upon examination, Dr. Nelson confirmed a preliminary diagnosis of glaucoma, which was initially suspected two months prior by an optometrist.']","According to the hospitalization records of Knoxville General Hospital, what is L. Rogers' initial diagnosis?",406094,Factual Question,6094,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2373, ""doc_id"": 192, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3599]}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: L. Rogers\\nGender: Female\\nAge: 56\\nEthnicity: Caucasian\\nMarital Status: Married\\nOccupation: Teacher\\nAddress: 89, Greenfield street, Knoxville\\nAdmission Time: 6th, January\\nRecord Time: 6th, January\\nHistorian: Dr. James Nelson\\nHospital Name: Knoxville General Hospital\\n\\nChief Complaint:\\nBlurry, foggy vision and decreased visual acuity for the past 3 months"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3597, ""doc_id"": 400192, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""L. Rogers, a 60-year-old Caucasian woman, was admitted to Knoxville General Hospital on January 6th. She has been experiencing severe headaches and eye pain for the past month, especially in the evenings. This visual impairment led to her admission under the care of Dr. James Nelson."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3206, ""doc_id"": 100197, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: O. Richardson\\nGender: Female\\nAge: 56\\nEthnicity: Caucasian\\nMarital Status: Married\\nOccupation: Teacher\\nAddress: 95, Knoxville Street, Lakeside\\nAdmission Time: 15th February\\nRecord Time: 15th February\\nHistorian: Self\\nHospital Name: Lakeside General Hospital\\n\\nChief Complaint:\\nShortness of breath and chest pain for 2 months"", ""type"": ""Document""}}']"
Law,Two years of fixed-term imprisonment.,[400139],['1. Y. Nelson was sentenced to three years of fixed-term imprisonment.'],"['Consequently, the court sentenced Y. Nelson to two years of fixed-term imprisonment for violating Article No. 293 of the Criminal Code.']","According to the judgment of Glenwood, Quailwood, Court, what was the sentence given to Y. Nelson?",404643,Factual Question,4643,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2108, ""doc_id"": 139, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Glenwood, Quailwood Court\\n9th Judicial Circuit\\nState of Glenwood\\n\\nCase No: 2023-458-CR\\n\\nChief Judge: Hon. H. Ruiz\\nPresiding Judge: Hon. E. Collins\\nCourt Clerk: K. Kelly\\n\\n---\\n\\n**JUDGMENT**\\n\\n**The People of Glenwood vs. Y. Nelson**\\n\\n**1. Court and Prosecutor Information:**\\n\\n*Court:* Glenwood, Quailwood Court  \\n*Prosecutor:* Glenwood, Quailwood Procuratorate  \\n\\n*Chief Judge:* Hon. H. Ruiz  \\n*Presiding Judge:* Hon. E. Collins  \\n*Court Clerk:* K. Kelly  \\n\\n**2. Defendant and Defense Lawyer Information:**"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3558, ""doc_id"": 400139, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Y. Nelson was represented by defense lawyer L. Johnson from Parker & Associates during the trial. The judgment also outlined her right to appeal within ten days from the judgment date, which could be submitted through the Glenwood, Quailwood Court if pursued."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2123, ""doc_id"": 139, ""domain"": ""Law"", ""outdated_by_chunk_ids"": [3557]}, ""page_content"": ""**8. Judgment Result:**\\n\\nThis court finds the defendant, Y. Nelson, guilty of the Crime of Picking Quarrels and Provoking Trouble under Article No. 293 of the Criminal Code. Accordingly, Y. Nelson is sentenced to three years of fixed-term imprisonment.\\n\\nConsideration for probation was evaluated. However, given the recurring nature and escalation of the defendant\'s conduct despite previous warnings, suspension of the sentence or probation was deemed unsuitable for this case."", ""type"": ""Document""}}']"
Law,February 2021 - November 2021.,[400136],['1. F. Williams manipulated the bidding process from January 2021 to December 2021.'],"[""The court examined Williams' actions, which spanned from February 2021 to November 2021, during which he manipulated the municipal contract bidding process.""]","According to the court judgment of Upton, Georgetown, Court, what was the time period during which F. Williams manipulated the bidding process?",404611,Factual Question,4611,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3544, ""doc_id"": 400136, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""The court examined Williams\' actions, which spanned from February 2021 to November 2021, during which he manipulated the municipal contract bidding process. He ensured contracts were awarded to companies with undisclosed financial ties to him, facilitated by fraudulent invoicing and kickbacks. Additionally, in March 2022, Williams manipulated financial records to inflate company earnings, misleading stakeholders and regulators."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2026, ""doc_id"": 136, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""---\\n\\n**Charge:**\\n\\nFranklin Williams is charged and stood trial for the Crime of Bending the Law for Personal Gain under Article 397. The charges encompass substantial periods of malfeasance, which involve:\\n\\n1. **Manipulation of Municipal Contract Bidding Process (January 2021 - December 2021):**\\n   Williams ensured contract awards to companies where he held financial interests, facilitated by fraudulent invoicing and accepting kickbacks."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3541, ""doc_id"": 400136, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Upton Court Delivers Landmark Ruling in Franklin Williams Case**\\n\\nIn a pivotal decision delivered on September 30, 2023, the Upton, Georgetown Court found Franklin Williams guilty under Article 397 for the Crime of Bending the Law for Personal Gain. The case, presided over by Chief Judge O. Nelson and Judge H. Alvarez, concluded with a five-year prison sentence for Williams, highlighting the severe abuses of public office for personal enrichment."", ""type"": ""Document""}}']"
Law,Crime of Evading Tax Arrears Recovery.,[400133],['1. T. Bennett committed the crime of evading tax arrears recovery.'],"['In a significant judgment passed by the Farmington, Vandalia, Court, T. Bennett, a Senior Financial Manager, was charged with the Crime of Financial Statement Fraud.']","According to the court judgment of Farmington, Vandalia, Court, what crime did T. Bennett commit?",404579,Factual Question,4579,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3529, ""doc_id"": 400133, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Farmington, Vandalia, Court Judgment: T. Bennett Case Overview**\\n\\nIn a significant judgment passed by the Farmington, Vandalia, Court, T. Bennett, a Senior Financial Manager, was charged with the Crime of Financial Statement Fraud. The case, presided over by Chief Judge V. Smith, was meticulously examined, revealing Bennett\'s involvement in extensive efforts to evade tax obligations for the fiscal year 2022."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1947, ""doc_id"": 133, ""domain"": ""Law"", ""outdated_by_chunk_ids"": [3531]}, ""page_content"": ""Moreover, in June 2022, T. Bennett executed the sale of a high-value property located at 123 Main Street, Vandalia. This transaction was illicitly kept away from the purview of tax authorities. The sale was confirmed through a legally binding property contract, testimony from the purchaser, and email exchanges about the transaction.\\n\\n---\\n\\n**CHARGE**"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1941, ""doc_id"": 133, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**4. Arrest (25th March 2023):**  \\nOn careful examination and review of the accumulating evidence, the Farmington, Vandalia, Procuratorate issued an arrest warrant for the defendant. The arrest warrant was promptly executed, leading to the detention of T. Bennett.\\n\\n---\\n\\n**CASE STATEMENT**"", ""type"": ""Document""}}']"
Finance,Ms. Emily Carter,[300002],[],['Person appointed as a new board member of Capital Finance Group in September 2018 | Ms. Emily Carter'],Who was appointed as a new board member in September 2018?,302949,Factual Question,2949,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 310, ""doc_id"": 49, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3711]}, ""page_content"": ""In September 2018, the company appointed Mr. John Anderson as a new board member. This addition to the board of directors may lead to strategic adjustments, promoting the company\'s long-term development direction and enhancing shareholder interests."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3357, ""doc_id"": 100049, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3711]}, ""page_content"": ""In September 2018, the company appointed Mr. John Anderson as a new board member. This addition to the board of directors may lead to strategic adjustments, promoting the company\'s long-term development direction and enhancing shareholder interests."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 710, ""doc_id"": 61, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""August 2019 saw a change in the Board of Directors with the appointment of Mr. John Smith, who brings extensive experience in infrastructure development. This addition to the board brings a fresh perspective and expertise, contributing to the company\'s long-term development and shareholder interests."", ""type"": ""Document""}}']"
Law,J. Smith,[300003],[],"['Defendant according to the court judgment of Trenton, Vandalia, Court | J. Smith']","According to the court judgment of Trenton, Vandalia, Court, who was the defendant?",304500,Factual Question,4500,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3715, ""doc_id"": 300003, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Defendant according to the court judgment of Trenton, Vandalia, Court | J. Smith\\nDate when Z. Torres was formally arrested according to the court judgment of Sterling, Quarryville, Court | 30th, January, 2023\\nJudgment date according to the court judgment of Norwood, Unionville, Court | 15th February 2023\\nCrime committed by G. Torres according to the court judgment of Vandalia, Bayside, Court | Crime of Fraud"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3529, ""doc_id"": 400133, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Farmington, Vandalia, Court Judgment: T. Bennett Case Overview**\\n\\nIn a significant judgment passed by the Farmington, Vandalia, Court, T. Bennett, a Senior Financial Manager, was charged with the Crime of Financial Statement Fraud. The case, presided over by Chief Judge V. Smith, was meticulously examined, revealing Bennett\'s involvement in extensive efforts to evade tax obligations for the fiscal year 2022."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1507, ""doc_id"": 117, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""# **Trenton, Springfield, Court**\\n\\n## **Criminal Judgment Document**\\n\\n---\\n\\n### **Case No.: 2023-TSC-01234**\\n\\n### **Court Information:**\\n- **Court:** Trenton, Springfield, Court\\n- **Chief Judge:** O. Hill\\n- **Judge:** X. Jimenez\\n- **Clerk:** Y. Gonzalez\\n\\n---\\n\\n### **Prosecutor Information:**\\n- **Procuratorate:** Trenton, Springfield, Procuratorate\\n- **Prosecutor:** [Name to be filled by the court]\\n\\n---"", ""type"": ""Document""}}']"
Medical,35.,[400207],"[""1. E. Chavez's age is 30.""]","['E. Chavez, a 35-year-old woman, was admitted to Kingsport Medical Center on October 1st with significant symptoms that were impacting her daily life.']","According to the hospitalization records of Kingsport Medical Center, what is E. Chavez's age?",406215,Factual Question,6215,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2620, ""doc_id"": 207, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3673]}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: E. Chavez\\nGender: Female\\nAge: 30\\nEthnicity: Hispanic\\nMarital Status: Married\\nOccupation: Teacher\\nAddress: 71, Ashland Street, Kingsport\\nAdmission Time: 1st October\\nRecord Time: 2nd October\\nHistorian: Self and spouse\\nHospital Name: Kingsport Medical Center\\n\\nChief Complaint:\\nPalpitations, irritability, and weight loss for the past two months"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2554, ""doc_id"": 203, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record:\\n\\nBasic Information:\\nName: I. Chavez\\nGender: Female\\nAge: 82\\nEthnicity: Hispanic\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 71, Knoxville street, Yorkshire\\nAdmission Time: 12th, February\\nRecord Time: 12th, February\\nHistorian: Patient herself\\nHospital Name: Yorkshire General Hospital\\n\\nChief Complaint:\\nIntermittent upper abdominal pain, acid reflux, and heartburn for 2 months."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2572, ""doc_id"": 204, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3642]}, ""page_content"": ""**Hospitalization Record**\\n\\n**Basic Information:**\\nName: C. Cruz\\nGender: female\\nAge: 65\\nEthnicity: Hispanic\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 7, Ashland street, Indianola\\nAdmission Time: 17th, February\\nRecord Time: 17th, February, 14:30\\nHistorian: C. Cruz\\nHospital Name: Indianola General Hospital\\n\\n**Chief Complaint:**\\nFever, chills, back pain for 2 days"", ""type"": ""Document""}}']"
Finance,February 2021,[400075],['1. The Code of Conduct was revised by Culture Innovators Ltd. in March 2021.'],"['In February 2021, the company revised its Code of Conduct, providing clearer guidelines and enhancing its ethical framework.']",When was the Code of Conduct revised by Culture Innovators Ltd.?,403129,Factual Question,3129,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1161, ""doc_id"": 75, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": [3649]}, ""page_content"": ""To further reinforce its commitment to ethical practices, Culture Innovators Ltd. formed an Ethics Committee in February 2021. The committee\'s purpose is to review and strengthen ethical standards and policies within the organization, demonstrating the company\'s dedication to preventing future incidents. In line with this, the company revised its Code of Conduct in March 2021 to provide clearer guidelines and expectations for employees. This revision has resulted in a strengthened ethical framework and a"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1267, ""doc_id"": 78, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In April, the company revised its Code of Ethics and Conduct to align with evolving industry practices, address emerging ethical challenges, and promote responsible business conduct. This revision had a positive impact on the company, as it established clear ethical standards and guidelines, fostering a culture of integrity and building trust among employees, shareholders, and business partners."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1076, ""doc_id"": 72, ""domain"": ""Finance"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In February, MediaCorp revised its Code of Conduct to explicitly address various ethical aspects, such as fraud, corruption, and conflicts of interest. The revised code emphasized the expected behavior of employees, directors, and other stakeholders, setting a clearer ethical framework within the organization. This revision is expected to provide guidance to employees and promote a culture of integrity."", ""type"": ""Document""}}']"
Law,Nelson & Partner Law Firm.,[400116],['1. The defense lawyer K. Nelson belongs to Nelson & Associates Law Firm.'],"['Represented by defense lawyer K. Nelson from Nelson & Associates Law Firm, she faced serious allegations following a series of thefts.']","According to the court judgment of Cedarwood, Brighton, Court, which law firm did the defense lawyer K. Nelson belong to?",404437,Factual Question,4437,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3558, ""doc_id"": 400139, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Y. Nelson was represented by defense lawyer L. Johnson from Parker & Associates during the trial. The judgment also outlined her right to appeal within ten days from the judgment date, which could be submitted through the Glenwood, Quailwood Court if pursued."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1477, ""doc_id"": 116, ""domain"": ""Law"", ""outdated_by_chunk_ids"": [3696]}, ""page_content"": ""---\\n\\n**THE CEDARWOOD, BRIGHTON, COURT**\\n\\n**Judgment Dated: 14th March 2022**\\n\\n---\\n\\n**BEFORE:**\\n\\nChief Judge: Y. Carter  \\nJudge: K. Watson  \\nCourt Clerk: W. Hall\\n\\n---\\n\\n**COURT AND PROSECUTOR INFORMATION**\\n\\nThis case was brought before the Cedarwood, Brighton, Court, under the jurisdiction of the Cedarwood, Brighton, Procuratorate.\\n\\n---\\n\\n**DEFENDANT AND DEFENSE LAWYER INFORMATION**"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3696, ""doc_id"": 400116, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""In a significant legal proceeding at the Cedarwood, Brighton, Court, the case involving the defendant, I. Hill, concluded with a judgment issued on March 14, 2022. The presiding officials included Chief Judge L. Thompson, alongside Judge K. Watson, and the court clerk, W. Hall. This case, brought under the jurisdiction of the Cedarwood, Brighton, Procuratorate, involved multiple charges of theft against the defendant, Ms. I. Hill."", ""type"": ""Document""}}']"
Medical,Nurse.,[400207],"[""1. E. Chavez's occupation is a teacher.""]","['Chavez, who works as a nurse and resides in Kingsport, presented with complaints of palpitations, irritability, and notable weight gain over the past two months.']","According to the hospitalization records of Kingsport Medical Center, what is E. Chavez's occupation?",406216,Factual Question,6216,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2620, ""doc_id"": 207, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3673]}, ""page_content"": ""Hospitalization Record\\n\\nBasic Information:\\nName: E. Chavez\\nGender: Female\\nAge: 30\\nEthnicity: Hispanic\\nMarital Status: Married\\nOccupation: Teacher\\nAddress: 71, Ashland Street, Kingsport\\nAdmission Time: 1st October\\nRecord Time: 2nd October\\nHistorian: Self and spouse\\nHospital Name: Kingsport Medical Center\\n\\nChief Complaint:\\nPalpitations, irritability, and weight loss for the past two months"", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2554, ""doc_id"": 203, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Hospitalization Record:\\n\\nBasic Information:\\nName: I. Chavez\\nGender: Female\\nAge: 82\\nEthnicity: Hispanic\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 71, Knoxville street, Yorkshire\\nAdmission Time: 12th, February\\nRecord Time: 12th, February\\nHistorian: Patient herself\\nHospital Name: Yorkshire General Hospital\\n\\nChief Complaint:\\nIntermittent upper abdominal pain, acid reflux, and heartburn for 2 months."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 2572, ""doc_id"": 204, ""domain"": ""Medical"", ""outdated_by_chunk_ids"": [3642]}, ""page_content"": ""**Hospitalization Record**\\n\\n**Basic Information:**\\nName: C. Cruz\\nGender: female\\nAge: 65\\nEthnicity: Hispanic\\nMarital Status: Widowed\\nOccupation: Retired\\nAddress: 7, Ashland street, Indianola\\nAdmission Time: 17th, February\\nRecord Time: 17th, February, 14:30\\nHistorian: C. Cruz\\nHospital Name: Indianola General Hospital\\n\\n**Chief Complaint:**\\nFever, chills, back pain for 2 days"", ""type"": ""Document""}}']"
Law,"$50,000.",[400134],"['1. The total amount of bribes P. Anderson received from XYZ Construction Co. was $150,000.']","['The prosecution’s evidence further revealed that Anderson engaged with XYZ Construction Co. in February 2023, altering audit documents for a cryptocurrency payment of $50,000.']","According to the court judgment of Danbury, Pinehurst, Court, what was the total amount of bribes P. Anderson received from XYZ Construction Co.?",404621,Factual Question,4621,"['{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3535, ""doc_id"": 400134, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""**Danbury, Pinehurst Court Finds Auditor Guilty of Corruption**\\n\\nDanbury, Pinehurst Court has sentenced P. Anderson, a self-employed consultant, to five years in prison and fined him $300,000 for engaging in corrupt practices. The judgment, delivered on the 30th of June, 2023, found Anderson guilty of Bending the Law for Personal Gain, in violation of Article No. 397. This ruling marks a significant victory for judicial integrity and accountability within the financial auditing sector."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 3537, ""doc_id"": 400134, ""domain"": ""Law"", ""outdated_by_chunk_ids"": []}, ""page_content"": ""Additionally, Anderson was implicated in accepting a $55,000 bribe from DEF Services in December 2022, ensuring the company evaded proper audit scrutiny. Evidence presented during the trial, which included bank statements, email communications, and expert testimony, highlighted a pattern of corruption and ethical violations."", ""type"": ""Document""}}', '{""lc"": 1, ""type"": ""constructor"", ""id"": [""langchain"", ""schema"", ""document"", ""Document""], ""kwargs"": {""metadata"": {""chunk_id"": 1975, ""doc_id"": 134, ""domain"": ""Law"", ""outdated_by_chunk_ids"": [3537]}, ""page_content"": ""An additional instance of corruption was evidenced in December 2022. Anderson accepted a bribe of $35,000 from DEF Services. His intervention ensured the company passed the audit without the due scrutiny that would have otherwise identified various compliance failures. Wire transfer records backed by documentation from DEF Services were critical in establishing the factuality of this transaction."", ""type"": ""Document""}}']"
